tick,price,success,trigger_date,has_strategy,strategy_date,has_rate,rate,raise_cash,cash_level
MSFT,214.97,0.0,2020-12-03,1,2020-12-02,1,12.0,0,0
GRBK,21.88,1.0,2020-12-03,1,2020-12-02,1,19.0,0,0
BLL,94.5,0.0,2020-12-07,0,,0,,0,0
MSI,171.24,0.0,2020-12-07,0,,0,,0,0
EL,246.78,1.0,2020-12-08,1,2020-12-07,1,18.0,0,0
LILAK,11.5,0.0,2020-12-09,1,2020-12-08,1,20.0,0,0
LILAK,11.47,0.0,2020-12-10,0,,0,,0,0
COUP,317.19,1.0,2020-12-11,1,2020-12-10,1,19.0,0,0
STNE,74.48,1.0,2020-12-11,1,2020-12-10,1,19.0,0,0
FITB,26.93,1.0,2020-12-21,0,,0,,0,0
CHTR,653.34,0.0,2020-12-21,0,,0,,0,0
CSX,89.84,0.0,2020-12-22,0,,0,,0,0
FTCH,62.75,0.0,2020-12-29,1,2020-12-28,1,14.0,0,0
MU,70.36,1.0,2020-12-30,1,2020-12-29,1,22.0,0,0
NOW,549.58,0.0,2020-12-30,1,2020-12-29,1,13.0,0,0
IP,49.57,0.0,2021-01-04,1,2020-12-31,1,17.0,0,0
STX,61.78,0.0,2021-01-04,1,2020-12-31,1,13.0,0,0
WRK,43.43,0.0,2021-01-04,1,2020-12-31,1,16.0,0,0
SQ,221.38,1.0,2021-01-05,1,2021-01-04,1,21.0,0,0
SE,198.25,1.0,2021-01-05,1,2021-01-04,1,22.0,0,0
HHC,79.0,1.0,2021-01-06,1,2021-01-05,1,18.0,0,0
APG,17.61,0.0,2021-01-07,1,2021-01-06,1,14.0,0,0
LULU,367.7,0.0,2021-01-07,1,2021-01-06,1,18.0,0,0
TEAM,233.44,0.0,2021-01-08,0,,0,,0,0
AER,46.24,0.0,2021-01-12,1,2021-01-11,1,18.0,0,0
COUP,348.03,0.0,2021-01-12,1,2021-01-11,1,19.0,0,0
DELL,73.69,,2021-01-15,1,2021-01-14,1,15.0,0,0
